nombre,MI
A1LE,4.08109e+06
A2LE,8.09129e+06
A3LE,5.59474e+06
A4LE,8.80739e+06
A5LE,4.58241e+06
A6LE,1.08659e+07
A7LE,7.52336e+06
A8LE,7.99715e+06
A9LE,8.19812e+06
A10LE,1.11872e+06
A11LE,7.6125e+06
A12LE,6.09266e+06
A13LE,5.86609e+06
A14LE,8.43348e+06
ARLE,8.91218e+06
avgle,3.7429e+06
avle,6.61954e+06
AVMLE,2.46666e+07
A8ALE,5.63614e+06
A9ALE,1.09369e+07
A10ALE,5.28155e+06
A11ALE,1.32748e+07
A12ALE,1.00036e+07
A13ALE,1.45573e+07
A14ALE,8.70912e+06
ARALE,6.85758e+06
AVMALE,8.99523e+06
A1LEP,7.2992e+06
A2LEP,3.40297e+06
A3LEP,1.47151e+06
A4LEP,2.53319e+06
A5LEP,3.29156e+06
A6LEP,1.0892e+07
A7LEP,4.45278e+06
A8LEP,8.80994e+06
A9LEP,3.76855e+06
A10LEP,2.20016e+05
A11LEP,3.65195e+06
A12LEP,7.70687e+06
A13LEP,5.40132e+06
A14LEP,9.09205e+06
ARLEP,1.31712e+07
avglep,2.30357e+07
avlep,2.61996e+07
AVMLEP,7.36578e+06
A8ALEP,1.34462e+07
A9ALEP,1.25424e+07
A10ALE,1.46199e+06
A11ALEP,1.08001e+07
A12ALEP,1.13459e+07
A13ALEP,1.04535e+07
A14ALEP,2.08587e+07
ARALEP,2.2235e+07
AVMALEP,2.14684e+07
